Player,N,Team,Total AV,Position,School,College Gms,Yrs at College,Missed Gm in COL,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Trevon Hartfield,411,ARZ,0,S,4,12,0,,24,8,20,6,0.54,5,0,31,9,19,4.48,32.5,122,7.12,4.6
Elijhaa Penny,412,ARZ,2,RB,2,23,4,,36,8,20,2,0.54,4,0,30.25,9.13,21,4.81,28.5,108,7.2,4.55
Givens Price,413,ARZ,0,T,1,24,1,,31,8,20,3,0.54,5,0,34.25,10.38,24,5.08,32,110,7.48,4.64
Hakeem Valles,414,ARZ,0,TE,3,38,2,,25,8,11,0,0.542,2,0,33.38,9.75,15,4.69,33.5,118,7.28,4.46
Morgan Fox,415,LAR,9,DE,4,49,1,,23,8,19,12,0.54,4,11,31.88,9.25,23,4.89,35,115,7.44,4.36
Aaron Green,416,LAR,0,RB,1,50,1,,20,8,20,9,0.54,5,11,31.13,8.38,18,4.56,32.5,120,6.81,4.04
Cory Littleton,417,LAR,27,LB,1,49,1,,41,8,34,3,0.545,2,11,33.38,10.13,,4.73,29.5,114,7.11,4.32
Paul McRoberts,418,LAR,0,WR,3,37,1,,24,8,31,5,0.543,5,11,,,,,,,,
Pace Murphy,419,LAR,0,T,3,35,1,,31,8,20,5,0.541,5,11,33.13,9.63,27,5.16,30,112,7.54,4.59
Kache Palacio,420,LAR,0,LB,1,50,1,,43,8,34,3,0.54,5,11,32.5,10,21,4.78,34,119,,
Duke Williams,421,LAR,1,WR,1,35,4,,34,8,31,5,0.54,4,11,32.5,9.25,14,4.72,30,121,7.43,4.47
Alex Balducci,422,SF,0,G,1,44,1,,30,8,14,2,0.54,5,2,33,9.25,25,5.01,33,113,7.55,4.63
Wynton McManis,423,SF,0,LB,1,47,1,,43,8,34,13,0.54,5,2,30.88,9.63,21,4.68,34.5,123,7.14,4.39
Bryce Treggs,424,SF,2,WR,1,46,1,,57,8,31,18,0.54,2,2,30.88,9.13,16,4.39,34,122,7,4.19
Trevone Boykin,425,SEA,0,QB,1,48,2,,21,8,15,0,0.545,5,0,31.63,9.38,,4.77,32,110,,
Brandin Bryant,426,SEA,0,DT,2,43,1,,28,8,23,4,0.54,5,0,31.5,10.5,38,4.88,28,11,7.27,4.35
DeAndre Elliot,427,SEA,1,CB,2,47,2,,28,8,31,1,0.543,5,0,,,,4.55,,,,3.94
George Fant,428,SEA,18,T,2,12,0,,31,8,20,4,0.547,2,0,34.88,9.75,22,4.84,37,119,7.2,4.54
Steve Longa,429,SEA,2,LB,1,37,1,,33,8,34,4,0.54,5,0,32,9.75,19,4.78,32,116,7.5,4.56
Tre Madden,430,SEA,1,RB,1,33,2,,22,8,20,3,0.54,3,0,29.75,9.38,24,4.6,33.5,120,7.09,4.27
Tanner McEvoy,431,SEA,2,S,1,38,1,,24,8,20,6,0.54,5,0,,,17,,33.5,117,7,4.29
Tyvis Powell,432,SEA,1,S,1,41,1,,14,8,20,6,0.54,4,0,32.75,9.5,15,4.46,34.5,120,7.03,4.25
Pete Robertson,433,SEA,0,LB,1,52,2,,43,8,34,4,0.54,5,0,31.75,9.13,21,5.12,28.5,107,7.38,4.52
Taniela Tupou,434,SEA,0,FB,1,45,2,,9,8,3,1,0.54,5,0,31.25,9.88,25,5.04,28.5,111,7.3,4.53
