Player,N,Team,Total AV,Position,School,College Gms,Yrs at College,Missed Gm in COL,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Matt Skura,260,BAL,28,C,1,50,2,,8,8,7,0,0.543,3,1,35.25,10,27,5.39,24,103,7.89,4.76
Alex Erickson,261,CIN,10,WR,1,40,1,,65,8,31,2,0.54,4,0,30.25,9.25,14,4.54,34.5,116,6.68,4.1
Darius Hillary,262,CIN,0,CB,1,54,2,,40,8,31,3,0.54,5,0,31,9.63,8,4.55,35,130,6.99,4.34
Alex Redmond,263,CIN,12,G,1,32,0,,16,8,14,0,0.54,4,0,33.25,9.63,30,5.3,28,111,7.75,4.9
Alonzo Russell,264,CIN,0,WR,2,50,1,,52,8,31,2,0.54,5,0,33.88,9.5,12,4.54,29.5,112,7.18,4.33
Dominque Alexander,265,CLE,1,LB,1,39,0,,17,8,34,2,0.546,5,13,32.25,9,17,4.76,28.5,104,7.84,4.57
J.P. Holtz,266,CLE,1,TE,1,52,1,,25,8,11,1,0.54,4,13,33.5,9.88,20,4.79,33,112,6.92,4.33
Tracy Howard,267,CLE,2,CB,1,51,1,,40,8,31,3,0.543,2,13,31.38,9,14,4.6,36,122,7.3,4.43
Johnny Maxey,268,PIT,0,DE,4,45,2,,23,8,19,2,0.54,5,0,,,,,,,,
Bryson Albright,269,BUF,0,DE,2,48,1,,23,8,19,10,0.54,5,16,32.38,10.25,18,4.89,33,121,6.87,4.25
Reid Ferguson,270,BUF,3,LS,1,51,1,,1,8,1,0,0.54,1,16,30.13,9.88,15,5.08,27.5,104,7.59,4.63
Glenn Gronkowski,271,BUF,0,FB,1,39,1,,4,8,3,0,0.545,5,16,30.75,9.5,17,4.71,33,120,7.1,4.45
Justin Zimmer,272,BUF,2,DT,4,42,1,,28,8,23,2,0.54,5,16,31.38,10.13,44,4.91,32,117,7.09,4.42
James Burgess,273,MIA,11,LB,1,49,1,,39,8,34,8,0.54,4,7,30.38,10.38,21,4.72,32.5,121,6.99,4.72
Marshall Koehn,274,MIA,0,K,1,29,2,,5,8,1,4,0.54,4,7,32.25,9.5,,4.61,,,,
Lafayette Pitts,275,MIA,2,CB,1,52,2,,38,8,31,3,0.54,5,7,29.63,9,12,4.46,33.5,122,6.81,4.27
Rashawn Scott,276,MIA,0,WR,1,32,2,,45,8,31,3,0.543,5,7,31.38,9.38,17,,32.5,116,,
DJ Foster,277,NE,1,WR,1,53,1,,35,8,31,3,0.54,5,0,30.5,9.25,14,4.57,35.5,117,6.75,4.07
Woodrow Hamilton,278,NE,2,DT,1,48,2,,28,8,23,1,0.54,2,0,,,,,,,,
Jonathan Jones,279,NE,17,CB,1,46,1,,20,8,31,4,0.543,2,0,30.25,8.75,10,4.33,36,123,7.25,4.25
Cre'von LeBlanc,280,NE,9,CB,2,45,1,,35,8,31,4,0.543,2,0,29.25,9.13,21,4.67,34,114,6.95,4.21
Robby Anderson,281,NYJ,32,WR,2,30,1,,54,8,31,2,0.543,2,5,30,8.63,8,4.36,36.5,128,7.07,4.27
Bryson Keeton,282,NYJ,0,CB,3,16,1,,40,8,31,3,0.54,5,5,,,,,,,,
Jalin Marshall,283,NYJ,1,WR,1,27,0,,18,8,31,2,0.544,2,5,31.5,9.63,16,4.6,37.5,125,6.8,4.13
Doug Middleton,284,NYJ,2,S,2,37,2,,24,8,20,0,0.545,4,5,30.13,8.88,18,4.5,38.5,131,6.93,4.38
Claude Pelon,285,NYJ,0,DT,1,23,4,,28,8,23,3,0.54,5,5,33.25,9.5,33,5.12,32.5,110,7.8,4.82
